Country,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
AR,Mar del Plata,-38.0023,-57.5575,66.99,94,0,9.22,1619166492
US,Palmer,42.1584,-72.3287,35.6,51,1,11.5,1619166632
CV,São Filipe,14.8961,-24.4956,72.19,72,71,9.26,1619166633
MV,Hithadhoo,-0.6,73.0833,83.43,71,33,7.4,1619166633
NZ,Tuatapere,-46.1333,167.6833,48.99,95,89,4.0,1619166634
BR,Presidente Venceslau,-21.8761,-51.8439,60.8,77,0,17.27,1619166634
ZM,Serenje,-13.2325,30.2352,72.43,57,3,7.38,1619166634
US,Albany,42.6001,-73.9662,37.0,49,8,1.01,1619166401
AU,Hobart,-42.8794,147.3294,55.4,50,40,13.8,1619166635
GL,Upernavik,72.7868,-56.1549,13.93,75,91,4.56,1619166636
AU,New Norfolk,-42.7826,147.0587,54.0,64,99,7.0,1619166623
AU,Carnarvon,-24.8667,113.6333,82.4,47,100,8.05,1619166425
CA,Tuktoyaktuk,69.4541,-133.0374,-3.8,100,63,4.65,1619166637
GB,Lerwick,60.1545,-1.1494,46.4,71,20,8.05,1619166637
AR,Ushuaia,-54.8,-68.3,41.0,93,75,1.14,1619166570
US,San Ramon,37.7799,-121.978,51.01,76,90,8.05,1619166638
RU,Priargunsk,50.3691,119.1012,48.07,17,96,14.34,1619166639
RU,Turukhansk,65.8167,87.9833,32.74,96,100,15.19,1619166639
AU,Dubbo,-32.25,148.6167,55.4,50,16,5.75,1619166639
IN,Dwārka,22.2394,68.9678,86.16,63,0,16.22,1619166640
RU,Khatanga,71.9667,102.5,33.22,99,100,16.71,1619166640
UA,Uglovoye,44.8215,33.6045,58.42,52,100,13.15,1619166641
BR,Arraial do Cabo,-22.9661,-42.0278,72.57,78,12,22.21,1619166641
MX,Coahuayana Viejo,18.7333,-103.6833,72.73,35,100,3.8,1619166642
NP,Jumla,29.2747,82.1838,63.84,26,99,10.11,1619166642
ZA,Port Elizabeth,-33.918,25.5701,66.2,82,0,13.8,1619166643
EC,Puerto Ayora,-0.7393,-90.3518,75.0,95,74,3.8,1619166644
PT,Mata,40.683,-7.4592,59.0,69,100,9.82,1619166644
CN,Dongsheng,39.8161,109.9776,65.52,33,100,16.6,1619166645
CA,Clyde River,70.4692,-68.5914,6.8,85,75,9.22,1619166645
US,Jamestown,42.097,-79.2353,27.0,93,1,19.57,1619166646
PG,Lorengau,-2.0226,147.2712,81.97,74,99,6.22,1619166646
PF,Rikitea,-23.1203,-134.9692,77.88,78,35,17.85,1619166619
CL,Punta Arenas,-53.15,-70.9167,44.6,100,90,2.3,1619166619
ZA,Kruisfontein,-34.0033,24.7314,75.99,61,0,7.0,1619166648
BW,Kang,-23.6752,22.7876,75.87,21,0,7.11,1619166649
CO,Cartagena del Chairá,1.3349,-74.8429,71.1,95,34,0.6,1619166649
SB,Auki,-8.7676,160.7034,78.49,86,71,3.85,1619166650
CA,Thompson,55.7435,-97.8558,10.4,72,20,4.61,1619166650
ES,Santa Cruz de La Palma,28.6835,-17.7642,69.8,73,20,4.61,1619166650
MX,Cabo San Lucas,22.8909,-109.9124,69.01,50,47,16.4,1619166541
US,San Patricio,28.017,-97.5169,72.0,94,90,11.5,1619166651
PG,Kavieng,-2.5744,150.7967,78.69,85,100,5.5,1619166652
PF,Atuona,-9.8,-139.0333,80.11,81,65,23.38,1619166652
SA,Faya,18.3851,42.4509,78.8,11,20,11.5,1619166653
RE,Saint-Philippe,-21.3585,55.7679,78.8,73,0,6.91,1619166653
GF,Cayenne,4.9333,-52.3333,80.01,100,75,2.3,1619166653
FR,Agen,44.2,0.6333,64.0,58,0,5.75,1619166654
AU,Mount Gambier,-37.8333,140.7667,55.4,82,90,5.75,1619166655
GB,Kirkwall,58.9848,-2.9587,46.4,71,0,1.14,1619166655
ZA,Hermanus,-34.4187,19.2345,66.94,67,33,7.2,1619166656
US,Barrow,71.2906,-156.7887,14.0,85,1,5.75,1619166603
JP,Shingū,33.7333,135.9833,64.4,72,75,16.11,1619166656
AU,Busselton,-33.65,115.3333,75.99,54,35,1.99,1619166657
CA,Yellowknife,62.456,-114.3525,12.2,67,90,6.91,1619166608
RU,Leningradskiy,69.3833,178.4167,18.07,91,64,5.39,1619166618
US,Rome,43.2128,-75.4557,33.01,69,1,5.75,1619166603
AU,Port Hedland,-20.3167,118.5667,89.6,25,0,11.5,1619166658
CA,Kenora,49.8167,-94.4337,44.6,42,40,6.91,1619166658
DK,Aulum,56.2649,8.787,48.99,46,6,12.66,1619166659
RU,Chokurdakh,70.6333,147.9167,-0.11,97,15,4.16,1619166659
PW,Kloulklubed,7.0419,134.2556,86.0,100,75,8.05,1619166660
BR,Adamantina,-21.6853,-51.0725,60.8,77,0,17.27,1619166660
NA,Lüderitz,-26.6481,15.1594,74.44,54,8,9.44,1619166661
RU,Provideniya,64.3833,-173.3,33.15,63,100,2.91,1619166661
NZ,Mataura,-46.1927,168.8643,48.99,95,98,4.0,1619166662
US,Virginia Beach,36.8529,-75.978,42.8,61,1,12.35,1619166662
ID,Bambanglipuro,-7.95,110.2833,82.45,65,27,10.09,1619166663
BR,Castro,-24.7911,-50.0119,49.17,98,68,2.39,1619166539
BB,Bathsheba,13.2167,-59.5167,78.8,65,20,18.41,1619166664
US,Kapaa,22.0752,-159.319,73.99,78,75,12.66,1619166664
KI,Butaritari,3.0707,172.7902,83.01,74,96,8.72,1619166616
CN,Qiongshan,20.0058,110.3542,89.6,66,40,6.71,1619166665
CL,Lautaro,-38.5167,-72.45,41.0,100,20,3.44,1619166665
ZA,Cape Town,-33.9258,18.4232,64.99,72,75,12.66,1619166478
BR,Iguape,-24.7081,-47.5553,64.72,90,58,9.22,1619166667
PG,Samarai,-10.6167,150.6667,82.98,77,100,7.14,1619166667
PG,Daru,-9.0763,143.2092,80.78,80,88,5.79,1619166668
BR,Olinda,-8.0089,-34.8553,75.2,83,40,2.3,1619166668
IR,Chabahar,25.2919,60.643,89.13,49,38,10.87,1619166669
CA,Fort Nelson,58.8053,-122.7002,30.2,43,75,3.44,1619166669
BR,Tucumã,-0.1833,-50.05,73.35,96,85,3.29,1619166669
ID,Kawalu,-7.3817,108.2082,80.02,71,71,4.79,1619166670
CA,Havre-St-Pierre,50.2334,-63.5986,33.8,93,90,13.8,1619166670
US,Portland,45.5234,-122.6762,48.2,66,75,2.46,1619166209
ID,Labuhan,-6.8844,112.2051,85.78,58,14,2.44,1619166671
PT,Caniço,32.6333,-16.85,66.2,63,20,4.61,1619166671
EG,Aswān,24.0934,32.907,100.44,10,0,14.52,1619166672
BR,Trairi,-3.2778,-39.2689,72.77,96,71,5.53,1619166673
CN,Binzhou,37.3667,118.0167,53.1,83,100,16.15,1619166673
TO,Vaini,-21.2,-175.2,77.0,94,20,2.3,1619166625
GL,Qaanaaq,77.484,-69.3632,19.24,94,100,5.32,1619166675
